,player_name,fantasy_pts
212,Casey Washington,15.4
213,Jacob Cowing,0.0
214,Johnny Wilson,0.0
215,Brycen Tremayne,30.0
216,Dominic Lovett,0.0
217,Matthew Slater,0.0
218,Cedrick Wilson Jr.,9.4
219,Michael Gallup,0.0
220,Equanimeous St. Brown,0.0
221,Robbie Chosen,10.3
222,Randall Cobb,0.0
223,Chase Claypool,0.0
224,Ronnie Bell,10.3
225,Lucky Jackson,0.0
226,Justin Watson,6.0
227,Ryan Miller,11.4
228,D.J. Montgomery,0.0
229,Dareke Young,6.8
230,Jason Brownlee,0.0
231,Tahj Washington,4.7
232,Joshua Cephus,0.0
233,Laquon Treadwell,0.0
234,Byron Pringle,0.0
235,Nelson Agholor,0.0
236,Robert Woods,0.0
237,Donovan Peoples-Jones,0.0
238,James Proche II,12.5
239,Alex Bachman,3.2
240,Mason Kinsey,6.8
241,Deven Thompkins,6.2
242,Dylan Drummond,11.2
243,Tommy Mellott,0.0
244,Chandler Brayboy,0.0
245,Ja'Corey Brooks,0.0
246,Ke'Shawn Williams,0.5
247,Bryce Oliver,1.8
248,Trent Taylor,0.0
249,David Bell,0.0
250,Brandon Johnson,0.0
251,Irvin Charles,0.0
252,Bryce Ford-Wheaton,0.0
253,Isaiah McKenzie,0.0
254,Brandon Powell,0.0
255,Zach Pascal,0.0
256,Richie James,0.0
257,River Cracraft,0.0
258,Keith Kirkwood,0.0
259,Phillip Dorsett II,0.0
260,Andy Isabella,0.0
261,Parris Campbell,0.0
262,Miles Boykin,0.0
263,John Ross,0.0
264,DJ Chark,0.0
265,Tyler Boyd,0.0
266,DeVante Parker,0.0
267,Willie Snead IV,0.0
268,Allen Robinson,0.0
269,Marquise Goodwin,0.0
270,Marvin Jones Jr.,0.0
271,Steven Sims,0.0
272,Trenton Irwin,0.0
273,Jalen Reagor,0.0
274,KJ Hamler,0.0
275,Laviska Shenault Jr.,0.0
276,Quintez Cephus,0.0
277,Quez Watkins,0.0
278,K.J. Osborn,0.0
279,Terrace Marshall Jr.,0.0
280,Amari Rodgers,0.0
281,Ihmir Smith-Marsette,0.0
282,Simi Fehoko,0.0
283,Michael Bandy,13.0
284,Danny Gray,0.0
285,Erik Ezukanma,0.0
286,Samori Toure,1.3
287,Justyn Ross,0.0
288,Tim Jones,2.5
289,Austin Trammell,7.6
290,Johnny Johnson III,0.0
291,Justin Shorter,0.0
292,Tyler Scott,0.0
293,Chase Cota,0.0
294,Malik Cunningham,0.1
295,Shedrick Jackson,15.9
296,Javon Baker,0.0
297,Brenden Rice,0.0
298,Cornelius Johnson,0.0
299,Ainias Smith,0.0
300,Jha'Quan Jackson,0.0
301,Tyreik McAllister,0.0
302,Jalen Cropper,0.0
303,Jared Wayne,4.0
304,Jermaine Jackson,0.0
305,Ricky White III,0.0
306,Junior Bergen,0.0
307,Nick Nash,0.0
308,Isaiah Neyor,0.0
309,Jackson Meeks,0.0
310,Dalen Cambre,0.0
311,Russell Gage Jr.,0.0
312,Juwann Winfree,0.0
313,Trishton Jackson,0.0
314,Kaden Prather,0.0
315,Alex Erickson,0.0
316,Damiere Byrd,0.0
317,Tre'Quan Smith,0.0
318,Anthony Miller,0.0
319,Chris Conley,0.0
320,Jamison Crowder,0.0
321,Keelan Doss,0.0
322,Deonte Harty,0.0
323,Nsimba Webster,0.0
324,Malik Turner,0.0
325,Stanley Morgan Jr.,0.0
326,Jalen Guyton,0.0
327,Lynn Bowden Jr.,0.0
328,Collin Johnson,0.0
329,Marquez Callaway,0.0
330,Malik Taylor,0.0
331,Dan Chisena,0.0
332,Kristian Wilkerson,0.0
333,Tony Brown,0.0
334,Dez Fitzpatrick,0.0
335,Frank Darby,0.0
336,Anthony Schwartz,0.0
337,Jaelon Darden,0.0
338,Jacob Harris,0.0
339,Seth Williams,0.0
340,Michael Strachan,0.0
341,Dax Milne,0.0
342,Easop Winston Jr.,0.0
343,Tarik Black,0.0
344,Cody Thompson,0.0
345,Kyle Philips,0.0
346,Michael Woods II,0.0
347,Montrell Washington,0.0
348,Brandon Smith,0.0
349,Lance McCutcheon,0.0
350,Devon Allen,0.0
351,DJ Turner,0.0
352,Jalen Virgil,0.0
353,Jared Bernhardt,0.0
354,Kendric Pryor,0.0
355,Raleigh Webb,0.0
356,Kaylon Geiger,0.0
357,Daylen Baldwin,0.0
