target,feature,gain
receiving_yards,Past-2-delta_career_average_targets,166481.53125
receiving_yards,Past-2-third_down_failed,164515.09375
receiving_yards,Past-1-delta_season_average_targets_redzone,157741.5625
receiving_yards,Past-2-delta_career_ypg,155166.890625
receiving_yards,Past-2-ypr,155156.125
receiving_yards,Past-2-delta_season_total_tds,154878.09375
receiving_yards,Past-1-delta_career_receiving_yards,151129.21875
receiving_yards,Past-1-delta_career_qb_dropback,150702.390625
receiving_yards,Past-2-season_yptouch,150033.359375
receiving_yards,Past-1-delta_career_comp_pct,149373.59375
receiving_yards,Past-2-delta_receiving_yards,148636.0
receiving_yards,Past-1-delta_season_average_receiving_yards,148442.359375
receiving_yards,Past-2-season_team_offense_snaps,148226.84375
receiving_yards,Past-1-delta_season_rec_td_pct,148185.328125
receiving_yards,Past-2-delta_career_receiving_touchdown,146547.0625
receiving_yards,Past-1-delta_career_receiving_touchdown,143614.8125
receiving_yards,Past-2-season_average_offense_snaps,143354.84375
receiving_yards,Past-1-season_average_targets_redzone,142669.8125
receiving_yards,Past-1-yptarget,140984.671875
receiving_yards,Past-2-career_fourth_down_failed,139543.359375
receiving_yards,Past-1-career_average_receiving_touchdown_redzone,139284.9375
receiving_yards,Past-2-delta_season_receiving_touchdown_gtg,137545.0
receiving_yards,Past-2-delta_career_average_no_huddle,136886.78125
receiving_yards,Past-1-delta_season_average_qb_dropback,136574.5
receiving_yards,Past-2-team_receiving_air_yards_share,136543.15625
receiving_yards,Past-2-career_average_passing_air_yards,135663.703125
receiving_yards,Past-1-fourth_down_converted,133672.109375
receiving_yards,Past-2-delta_career_fantasy_points_ppr,133361.359375
receiving_yards,Past-2-delta_season_shotgun,131536.671875
receiving_yards,Past-2-delta_career_average_third_down_converted,131254.703125
receiving_yards,Past-1-season_yptarget,129757.625
receiving_yards,Past-1-season_average_receptions_redzone,129294.484375
receiving_yards,Past-1-delta_season_average_fantasy_points_standard,128011.140625
receiving_yards,Past-1-delta_career_average_team_offense_snaps,127019.7109375
receiving_yards,Past-2-shotgun,126817.578125
receiving_yards,Past-1-season_rec_td_pct,126017.9375
receiving_yards,Past-1-no_huddle,125328.6484375
receiving_yards,Past-2-delta_career_average_team_offense_snaps,123244.6875
receiving_yards,Past-1-career_no_huddle,122988.8984375
receiving_yards,Past-1-delta_touches,119145.3828125
receiving_yards,Past-2-season_targets_gtg,118803.0
receiving_yards,Past-2-delta_career_yptouch,116667.90625
receiving_yards,Past-2-depth_team,116633.0625
receiving_yards,Past-2-career_receiving_air_yards,115432.3515625
receiving_yards,Past-2-delta_career_average_fumble_not_forced,113844.765625
receiving_yards,Past-1-delta_season_ypg,112604.9375
receiving_yards,Past-1-delta_season_average_targets_gtg,111672.109375
receiving_yards,Past-1-delta_season_team_offense_snaps,111035.46875
receiving_yards,Past-2-career_third_down_failed,110573.5078125
receiving_yards,Past-2-delta_career_average_targets_redzone,110216.28125
receptions,Past-1-season_fantasy_points_ppr,108404.859375
receiving_yards,Past-2-delta_games_missed,107360.875
receiving_yards,Past-2-delta_season_average_shotgun,107160.890625
receiving_yards,Past-2-delta_career_average_receiving_air_yards,106446.3359375
receiving_yards,Past-2-delta_career_no_huddle,105759.2734375
receiving_yards,Past-1-delta_season_ypr,104207.6875
receiving_yards,Past-1-delta_career_targets,103619.5234375
receiving_yards,Past-1-team_pass_touchdown_share,103343.875
receiving_yards,Past-2-delta_season_average_receptions_redzone,102150.2890625
receiving_yards,Past-1-delta_career_interception,102080.390625
receptions,Past-1-season_targets,100659.5390625
receiving_yards,Past-1-season_average_targets_gtg,100387.234375
receiving_yards,Past-2-delta_season_average_receiving_air_yards,100301.5625
receiving_yards,Past-2-years_exp,99849.7734375
receiving_yards,Past-2-delta_season_receptions_redzone,99353.6328125
receiving_yards,Past-2-delta_season_average_third_down_failed,98539.171875
receiving_yards,Past-2-season_average_fourth_down_failed,98359.90625
receiving_yards,Past-2-season_average_targets_redzone,97949.96875
receiving_yards,Past-2-delta_season_targets,97630.265625
receiving_yards,Past-1-career_average_receptions,96550.0
receiving_yards,Past-1-delta_career_fantasy_points_ppr,95435.3046875
receiving_yards,Past-1-career_average_receptions_gtg,95298.0625
receiving_yards,Past-2-season_average_team_offense_snaps,93403.5078125
receiving_yards,Past-1-delta_fantasy_points_ppr,93053.03125
receiving_yards,Past-1-career_average_rush_attempts,92089.8984375
receiving_yards,Past-1-delta_career_average_fantasy_points_ppr,92019.0546875
receiving_yards,Past-2-delta_career_team_offense_snaps,90498.9375
receiving_yards,Past-1-delta_offense_snaps,90273.7265625
receiving_yards,Past-1-delta_career_offense_snaps,88864.8046875
receiving_yards,Past-1-career_ypr,88647.1875
receiving_yards,Past-1-delta_career_average_fourth_down_failed,88460.5
receiving_yards,Past-2-career_average_rushing_yards,88017.4140625
receiving_yards,Past-2-delta_career_rec_td_pct,86873.6875
receiving_yards,Past-1-delta_season_touches,86139.703125
receiving_yards,Past-1-delta_career_yptarget,85903.578125
receiving_yards,Past-2-delta_career_receptions_redzone,84634.1484375
receiving_yards,Past-1-career_total_tds,84314.84375
receiving_yards,Past-1-delta_career_td_pct,83951.90625
receptions,Past-1-season_average_targets,82515.6484375
receiving_yards,Past-1-delta_season_yards_after_catch,82249.3671875
receiving_yards,Past-1-delta_season_average_shotgun,81967.8828125
receiving_yards,Past-1-delta_season_fantasy_points_standard,81843.046875
receiving_yards,Past-2-delta_career_pass_touchdown,80868.15625
receiving_yards,Past-1-delta_games_missed,80804.859375
receiving_yards,Past-2-delta_career_targets,79470.6875
receiving_yards,Past-2-delta_season_qb_dropback,79233.359375
receiving_yards,Past-1-delta_career_average_touches,79109.328125
receiving_yards,Past-2-delta_season_safety,78996.6875
receiving_yards,Past-2-season_average_first_down_pass,78461.703125
receiving_yards,Past-1-delta_season_td_pct,78186.0078125
receiving_yards,Past-2-delta_season_total_yards,77297.09375
receiving_yards,Past-1-delta_season_average_receiving_touchdown_redzone,75959.09375
receiving_yards,Past-1-career_average_rush_attempts_gtg,75379.0859375
receiving_yards,Past-2-delta_career_third_down_failed,75155.859375
receiving_yards,Past-1-career_third_down_converted,75153.8671875
receiving_yards,Past-2-delta_ypr,73239.234375
receiving_yards,Past-2-season_average_receptions,72223.4921875
receiving_yards,Past-1-delta_career_targets_gtg,70817.765625
receiving_yards,Past-2-delta_season_average_targets,70670.5078125
receiving_yards,Past-1-delta_career_average_total_yards,70495.171875
receiving_yards,Past-1-delta_offense_pct,70394.296875
receiving_yards,Past-1-career_fumble,69984.21875
receiving_yards,Past-2-delta_career_ypr,69051.984375
receiving_yards,Past-2-offense_pct,67787.1171875
receiving_yards,Past-1-season_total_tds,67180.4375
receiving_yards,Past-1-delta_career_rec_td_pct,65739.484375
receiving_yards,Past-1-delta_career_average_fourth_down_converted,65305.51171875
receiving_yards,Past-2-delta_career_average_offense_snaps,64545.28125
receiving_yards,Past-2-delta_career_average_receptions_redzone,63382.34765625
receiving_yards,Past-1-offense_pct,63065.10546875
receiving_yards,Past-2-no_huddle,62895.5
receiving_yards,Past-1-age,62785.1875
receiving_yards,Past-2-delta_season_yptouch,62103.73828125
receiving_yards,Past-2-delta_season_rush_td_pct,61613.37109375
receiving_yards,Past-2-delta_career_average_third_down_failed,61597.265625
receiving_yards,Past-1-delta_season_offense_snaps,61079.375
receiving_yards,Past-2-career_ypg,60326.6015625
receiving_yards,Past-1-delta_career_total_yards,59973.359375
receiving_yards,Past-1-season_average_shotgun,59892.640625
receiving_yards,Past-2-delta_season_average_third_down_converted,59837.7265625
receiving_yards,Past-1-delta_fantasy_points_standard,59019.16015625
receiving_yards,Past-1-season_receiving_air_yards,58081.8515625
receiving_yards,Past-2-delta_season_ypg,57355.8984375
receiving_yards,Past-2-delta_career_receiving_air_yards,57067.73046875
receiving_yards,Past-1-career_average_fumble_out_of_bounds,56786.0859375
receiving_yards,Past-1-delta_career_average_receiving_air_yards,56557.1953125
receiving_yards,Past-2-delta_season_td_pct,55935.60546875
receiving_yards,Past-1-delta_career_ypg,55907.1171875
receiving_yards,Past-2-delta_season_touches,55454.90234375
receiving_yards,Past-1-delta_career_average_targets_gtg,55089.78515625
receiving_yards,Past-2-season_average_fourth_down_converted,55070.26171875
receiving_yards,Past-1-delta_career_fourth_down_failed,54644.34375
receiving_yards,Past-1-career_yptouch,54283.48046875
receiving_yards,Past-2-delta_total_tds,54239.28125
receiving_yards,Past-1-delta_total_tds,53419.9609375
receiving_yards,Past-2-delta_career_targets_redzone,52198.99609375
receiving_yards,Past-1-delta_season_fantasy_points_ppr,49243.765625
receiving_yards,Past-1-delta_season_average_targets,49065.0546875
receiving_yards,Past-2-season_ypr,48711.3046875
receiving_yards,Past-2-delta_season_average_receiving_touchdown_redzone,47335.8125
receiving_yards,Past-1-career_average_interception,46935.203125
receiving_yards,Past-2-delta_season_ypr,46853.30078125
receiving_yards,Past-2-age,46721.828125
receiving_yards,Past-1-delta_season_targets_redzone,46167.25
receiving_yards,Past-1-career_average_fourth_down_converted,45735.4140625
receiving_yards,Past-1-delta_yptarget,45584.08203125
receiving_yards,Past-2-delta_season_average_first_down_pass,45508.86328125
receiving_yards,Past-2-career_rec_ypg,44695.84375
receiving_yards,Past-1-third_down_failed,43163.2890625
receiving_yards,Past-1-career_interception,43037.0234375
receiving_yards,Past-2-career_rush_ypg,42301.125
receiving_yards,Past-2-delta_season_pass_attempts_redzone,42271.234375
receiving_yards,Past-1-season_average_no_huddle,41526.21875
receiving_yards,Past-2-yards_after_catch,41454.26171875
receiving_yards,Past-2-career_average_fumble_not_forced,41057.85546875
receiving_yards,Past-1-delta_career_average_shotgun,38011.859375
receiving_yards,Past-1-career_average_fumble_forced,37389.85546875
receiving_yards,Past-1-delta_season_average_fumble_forced,37382.79296875
receiving_yards,Past-1-delta_career_passing_air_yards,37379.69140625
receiving_yards,Past-2-fourth_down_failed,35493.828125
receptions,Past-1-season_average_receptions,34879.55859375
