,player_name,fantasy_pts
213,Avery Williams,0.0
214,Godwin Igwebuike,0.0
215,Derrick Gore,0.0
216,Josh Johnson,0.0
217,Isaiah Spiller,0.0
218,Snoop Conner,0.0
219,Tyrion Davis-Price,0.0
220,Zander Horvath,0.0
221,Mataeo Durant,0.0
222,Zach Evans,0.0
223,Lew Nichols,0.0
224,Mohamed Ibrahim,0.0
225,Xazavian Valladay,0.0
226,Ellis Merriweather,0.0
227,Owen Wright,0.6
228,Jordan Mims,0.0
229,SaRodorick Thompson Jr.,0.0
230,Jashaun Corbin,0.0
231,Jase McClellan,0.0
232,Keilan Robinson,0.0
233,Louis Rees-Zammit,0.0
234,Dante Miller,0.0
235,Michael Wiley,0.0
236,Aaron Shampklin,0.0
237,D.J. Williams,0.0
238,Kendall Milton,0.2
239,Carlos Washington Jr.,0.0
240,Chris Collier,0.0
241,Jacob Kibodi,0.0
242,Amar Johnson,0.8
243,Ulysses Bentley IV,0.0
244,Jacardia Wright,2.0
245,Dwayne Washington,0.0
246,Alex Armah,0.0
247,Jonathan Williams,0.0
248,John Kelly Jr.,0.0
249,Qadree Ollison,0.0
250,Damien Williams,0.0
251,Taiwan Jones,0.0
252,Darrynton Evans,0.0
253,Anthony McFarland Jr.,0.0
254,La'Mical Perine,0.0
255,Jonathan Ward,0.0
256,Tony Jones Jr.,0.0
257,Demetric Felton,0.0
258,Deon Jackson,0.0
259,Trestan Ebner,0.0
260,Kevin Harris,0.0
261,Abram Smith,0.0
262,Troy Hairston,0.0
263,D'vonte Price,0.0
264,Elijah Dotson,0.0
265,Blake Watson,0.0
